,X,Y,Z
Large_Vial0,160.5,244.0,34.0
Large_Vial1,184.5,244.0,34.0
Large_Vial2,208.5,244.0,34.0
Large_Vial3,232.5,244.0,34.0
Large_Vial4,256.5,244.0,34.0
Large_Vial5,280.5,244.0,34.0
Large_Vial6,304.5,244.0,34.0
Large_Vial7,328.5,244.0,34.0
Large_Vial8,160.5,219.0,34.0
Large_Vial9,184.5,219.0,34.0
Large_Vial10,208.5,219.0,34.0
Large_Vial11,232.5,219.0,34.0
Large_Vial12,256.5,219.0,34.0
Large_Vial13,280.5,219.0,34.0
Large_Vial14,304.5,219.0,34.0
Large_Vial15,328.5,219.0,34.0
HPLC_Vial0,155.5,199.0,29.5
HPLC_Vial1,172.0,199.0,29.5
HPLC_Vial2,188.5,199.0,29.5
HPLC_Vial3,205.0,199.0,29.5
HPLC_Vial4,221.5,199.0,29.5
HPLC_Vial5,238.0,199.0,29.5
HPLC_Vial6,254.5,199.0,29.5
HPLC_Vial7,271.0,199.0,29.5
HPLC_Vial8,287.5,199.0,29.5
HPLC_Vial9,304.0,199.0,29.5
HPLC_Vial10,320.5,199.0,29.5
HPLC_Vial11,337.0,199.0,29.5
HPLC_Vial12,155.5,184.0,29.5
HPLC_Vial13,172.0,184.0,29.5
HPLC_Vial14,188.5,184.0,29.5
HPLC_Vial15,205.0,184.0,29.5
HPLC_Vial16,221.5,184.0,29.5
HPLC_Vial17,238.0,184.0,29.5
HPLC_Vial18,254.5,184.0,29.5
HPLC_Vial19,271.0,184.0,29.5
HPLC_Vial20,287.5,184.0,29.5
HPLC_Vial21,304.0,184.0,29.5
HPLC_Vial22,320.5,184.0,29.5
HPLC_Vial23,337.0,184.0,29.5
Small_Tube0,156.0,168.5,33.5
Small_Tube1,172.5,168.5,33.5
Small_Tube2,189.0,168.5,33.5
Small_Tube3,205.5,168.5,33.5
Small_Tube4,222.0,168.5,33.5
Small_Tube5,238.5,168.5,33.5
Small_Tube6,255.0,168.5,33.5
Small_Tube7,271.5,168.5,33.5
Small_Tube8,288.0,168.5,33.5
Small_Tube9,304.5,168.5,33.5
Small_Tube10,321.0,168.5,33.5
Small_Tube11,337.5,168.5,33.5
