name,x,y,z
Large_Vial0,152.5,244.5,32.0
Large_Vial1,176.5,244.5,32.0
Large_Vial2,200.5,244.5,32.0
Large_Vial3,224.5,244.5,32.0
Large_Vial4,248.5,244.5,32.0
Large_Vial5,272.5,244.5,32.0
Large_Vial6,296.5,244.5,32.0
Large_Vial7,320.5,244.5,32.0
Large_Vial8,152.5,219.5,32.0
Large_Vial9,176.5,219.5,32.0
Large_Vial10,200.5,219.5,32.0
Large_Vial11,224.5,219.5,32.0
Large_Vial12,248.5,219.5,32.0
Large_Vial13,272.5,219.5,32.0
Large_Vial14,296.5,219.5,32.0
Large_Vial15,320.5,219.5,32.0
HPLC_Vial0,147.5,199.0,27.5
HPLC_Vial1,164.0,199.0,27.5
HPLC_Vial2,180.5,199.0,27.5
HPLC_Vial3,197.0,199.0,27.5
HPLC_Vial4,213.5,199.0,27.5
HPLC_Vial5,230.0,199.0,27.5
HPLC_Vial6,246.5,199.0,27.5
HPLC_Vial7,263.0,199.0,27.5
HPLC_Vial8,279.5,199.0,27.5
HPLC_Vial9,296.0,199.0,27.5
HPLC_Vial10,312.5,199.0,27.5
HPLC_Vial11,329.0,199.0,27.5
HPLC_Vial12,147.5,184.0,27.5
HPLC_Vial13,164.0,184.0,27.5
HPLC_Vial14,180.5,184.0,27.5
HPLC_Vial15,197.0,184.0,27.5
HPLC_Vial16,213.5,184.0,27.5
HPLC_Vial17,230.0,184.0,27.5
HPLC_Vial18,246.5,184.0,27.5
HPLC_Vial19,263.0,184.0,27.5
HPLC_Vial20,279.5,184.0,27.5
HPLC_Vial21,296.0,184.0,27.5
HPLC_Vial22,312.5,184.0,27.5
HPLC_Vial23,329.0,184.0,27.5
Small_Tube0,147.0,169.0,31.5
Small_Tube1,163.5,169.0,31.5
Small_Tube2,180.0,169.0,31.5
Small_Tube3,196.5,169.0,31.5
Small_Tube4,213.0,169.0,31.5
Small_Tube5,229.5,169.0,31.5
Small_Tube6,246.0,169.0,31.5
Small_Tube7,262.5,169.0,31.5
Small_Tube8,279.0,169.0,31.5
Small_Tube9,295.5,169.0,31.5
Small_Tube10,312.0,169.0,31.5
Small_Tube11,328.5,169.0,31.5
