Well,Status,ABTS,HRP,GOx,Glucose,Iteration
A1,True,21.666666666666664,18.333333333333332,41.666666666666664,11.666666666666666,1.0
B1,True,45.0,48.33333333333333,31.666666666666664,41.666666666666664,1.0
C1,True,31.666666666666664,45.0,28.333333333333332,31.666666666666664,1.0
D1,True,15.0,25.0,38.33333333333333,38.33333333333333,1.0
E1,True,28.333333333333332,21.666666666666664,25.0,15.0,1.0
F1,True,25.0,35.0,18.333333333333332,45.0,1.0
G1,True,11.666666666666666,11.666666666666666,15.0,35.0,1.0
H1,True,35.0,28.333333333333332,35.0,21.666666666666664,1.0
A2,True,48.33333333333333,38.33333333333333,45.0,48.33333333333333,1.0
B2,True,18.333333333333332,41.666666666666664,11.666666666666666,18.333333333333332,1.0
C2,True,41.666666666666664,31.666666666666664,48.33333333333333,25.0,1.0
D2,True,38.33333333333333,15.0,21.666666666666664,28.333333333333332,1.0
E2,False,,,,,
F2,False,,,,,
G2,False,,,,,
H2,False,,,,,
A3,False,,,,,
B3,False,,,,,
C3,False,,,,,
D3,False,,,,,
E3,False,,,,,
F3,False,,,,,
G3,False,,,,,
H3,False,,,,,
A4,False,,,,,
B4,False,,,,,
C4,False,,,,,
D4,False,,,,,
E4,False,,,,,
F4,False,,,,,
G4,False,,,,,
H4,False,,,,,
A5,False,,,,,
B5,False,,,,,
C5,False,,,,,
D5,False,,,,,
E5,False,,,,,
F5,False,,,,,
G5,False,,,,,
H5,False,,,,,
A6,False,,,,,
B6,False,,,,,
C6,False,,,,,
D6,False,,,,,
E6,False,,,,,
F6,False,,,,,
G6,False,,,,,
H6,False,,,,,
A7,False,,,,,
B7,False,,,,,
C7,False,,,,,
D7,False,,,,,
E7,False,,,,,
F7,False,,,,,
G7,False,,,,,
H7,False,,,,,
A8,False,,,,,
B8,False,,,,,
C8,False,,,,,
D8,False,,,,,
E8,False,,,,,
F8,False,,,,,
G8,False,,,,,
H8,False,,,,,
A9,False,,,,,
B9,False,,,,,
C9,False,,,,,
D9,False,,,,,
E9,False,,,,,
F9,False,,,,,
G9,False,,,,,
H9,False,,,,,
A10,False,,,,,
B10,False,,,,,
C10,False,,,,,
D10,False,,,,,
E10,False,,,,,
F10,False,,,,,
G10,False,,,,,
H10,False,,,,,
A11,False,,,,,
B11,False,,,,,
C11,False,,,,,
D11,False,,,,,
E11,False,,,,,
F11,False,,,,,
G11,False,,,,,
H11,False,,,,,
A12,False,,,,,
B12,False,,,,,
C12,False,,,,,
D12,False,,,,,
E12,False,,,,,
F12,False,,,,,
G12,False,,,,,
H12,False,,,,,
